"cell_ID"	"X"	"Y"
"s135"	3523.37	-1354.5
"s138"	3423.84	-1597.6
"s228"	5159.8	-794.27
"s229"	5119.29	-892.49
"s230"	4970.61	-1037.7
"s231"	4997.85	-1174.9
"s232"	4899.09	-864.35
"s234"	4851.6	-1240.8
"s235"	4823.56	-1365.4
"s236"	4804.11	-713.46
"s242"	4547.35	-568.71
"s243"	4537.9	-1744.9
"s244"	4510.15	-1145.7
"s250"	4392.42	-752.18
"s251"	4317.02	-490.18
"s252"	4240.52	-1073.6
"s256"	4192.32	-872.18
"s258"	4094.92	-1122.9
"s259"	4082.02	-1281.7
"s260"	4032.92	-1487.7
"s262"	3968.02	-1620.9
"s263"	3946.22	-998.12
"s270"	3673.02	-1327.8
"s272"	5074.16	-1522.7
"s274"	5024.13	-1415.4
"s278"	4759.77	-1474.1
"s280"	3962.02	-1734.5
"s281"	3828.12	-1652.8
"s284"	5288.5	-520.95
"s285"	5266.38	-623.17
"s286"	5149.68	-1818.8
"s292"	4872.74	-539.39
"s293"	4802.82	-420.87
"s296"	4653.69	-300.32
"s299"	4554.35	-414.39
"s300"	4510.78	-257.98
"s301"	4278.02	-1904.6
"s304"	4212.72	-174.8
"s305"	4131.72	-1936
"s308"	3957.12	-212.18
"s311"	3774.32	-644.44
"s313"	3632.42	-546.78
"s343"	6406.68	-716.81
"s357"	6241.22	-993.52
"s369"	6087.17	-904.01
"s374"	6005.87	-1010.8
"s392"	5693.07	-808.9
"s395"	5647.17	-972.21
"s397"	5615.97	-1413.4
"s398"	5614.07	-1297.3
"s401"	5576.57	-1702.9
"s407"	5502.67	-422.92
"s415"	5359.97	-972.19
"s418"	5350.27	-1802.9
"s435"	7261.23	-231.48
"s447"	6944.04	385.52
"s467"	6541.77	48.72
"s479"	6329.07	225.72
"s480"	6312.77	871.45
"s494"	7125.99	167.42
"s500"	6521.87	357.02
"s506"	6285.57	547.12
"s516"	6367.17	1240.76
"s517"	6132.47	1002.12
