"cell_ID"	"X"	"Y"
"s211"	2203.27	-918.22
"s212"	2197.37	-1748.9
"s213"	2162.97	-1205.4
"s214"	2153.47	-743.17
"s215"	2126.17	-1087.2
"s216"	2099.27	-856.63
"s217"	2104.27	-531.71
"s218"	2086.87	-1751.5
"s219"	2082.07	-653.89
"s220"	2083.87	-1625.7
"s221"	2067.77	-751.4
"s222"	2052.37	-1164.1
"s223"	2034.97	-1536.8
"s224"	1986.67	-1020.7
"s225"	1965.17	-918.24
"s226"	1876.87	-1046.5
"s227"	5195.67	-1033.1
"s228"	5159.8	-794.27
"s229"	5119.29	-892.49
"s230"	4970.61	-1037.7
"s231"	4997.85	-1174.9
"s232"	4899.09	-864.35
"s233"	4879.9	-1112.1
"s234"	4851.6	-1240.8
"s235"	4823.56	-1365.4
"s236"	4804.11	-713.46
"s237"	4721.72	-1351.7
"s238"	4682.87	-874.24
"s239"	4669.97	-1231.8
"s240"	4637.17	-1699.3
"s241"	4607.14	-1336
"s242"	4547.35	-568.71
"s243"	4537.9	-1744.9
"s244"	4510.15	-1145.7
"s245"	4483.3	-1047.9
"s246"	4442.22	-493.04
"s247"	4436.92	-999.3
"s248"	4418.12	-1623.1
"s249"	4406.42	-1437.8
"s250"	4392.42	-752.18
"s251"	4317.02	-490.18
"s252"	4240.52	-1073.6
"s253"	4243.82	-1585.5
"s254"	4222.32	-761.15
"s255"	4172.12	-529.72
"s256"	4192.32	-872.18
"s257"	4158.92	-800.37
"s258"	4094.92	-1122.9
"s259"	4082.02	-1281.7
"s260"	4032.92	-1487.7
"s261"	3993.32	-1168.7
"s262"	3968.02	-1620.9
"s263"	3946.22	-998.12
"s264"	3877.72	-906.57
"s265"	3829.02	-1769.8
"s266"	3810.52	-974.49
"s267"	3812.72	-1879.2
"s268"	3740.62	-1473.7
"s269"	3661.02	-873.9
"s270"	3673.02	-1327.8
"s271"	5210.52	-1507.3
"s272"	5074.16	-1522.7
"s273"	5049.17	-1655.5
"s274"	5024.13	-1415.4
"s275"	4952.79	-1309.2
"s276"	4929.39	-1484.8
"s277"	4888.54	-1668.2
"s278"	4759.77	-1474.1
"s279"	4016.92	-876.46
