"Gene symbol","Cluster number"
"Rapgef1","3"
"Cers6","3"
"Ubr3","3"
"Agps","3"
"Prkra","3"
"Dgkz","3"
"Commd9","3"
"Caprin1","3"
"Cstf3","3"
"Fam98b","3"
"Itpka","3"
"B2m","3"
"Sord","3"
"Duox2","3"
"Bub1","3"
"Eif6","3"
"Vapb","3"
"Prpf6","3"
"Fabp5","3"
"Dhx36","3"
"Syt11","3"
"Rps27","3"
"Cgn","3"
"Gstm4","3"
"Ampd2","3"
"Papss1","3"
"Aimp1","3"
"Rab2a","3"
"Decr1","3"
"4933421O10Rik","3"
"Tesk1","3"
"Tmeff1","3"
"Cdk5rap2","3"
"Mllt3","3"
"Lrp8","3"
"Psmb2","3"
"Zmym4","3"
"Sfpq","3"
"Zbtb8os","3"
"Hdac1","3"
"Ubxn11","3"
"Cdc42","3"
"Tmco4","3"
"Ddi2","3"
"2510039O18Rik","3"
"Gpr157","3"
"Krit1","3"
"Ube3c","3"
"Hadhb","3"
"Lias","3"
"Tgfbr3","3"
"Cox6a1","3"
"Prkab1","3"
"Hip1r","3"
"Get4","3"
"Tes","3"
"Akr1b3","3"
"Mgam","3"
"Gimap4","3"
"Hibadh","3"
"Tigd2","3"
"Anxa4","3"
"Tpra1","3"
"Xpc","3"
"Il17ra","3"
"Klrg1","3"
"Ddx47","3"
"Dera","3"
"Aebp2","3"
"Tsen34","3"
"Foxa3","3"
"Opa3","3"
"Polr2i","3"
"Psenen","3"
"Tshz3","3"
"Klk1","3"
"Cyth2","3"
"Wdr73","3"
"Coa4","3"
"Ilk","3"
"Mrpl17","3"
"Dkk3","3"
"Thumpd1","3"
"Mvp","3"
"Ccnd1","3"
"Timm44","3"
"Lamp1","3"
"Golga7","3"
"Slc25a4","3"
"Dctd","3"
"Hhip","3"
"Lonp2","3"
"Tradd","3"
"Il34","3"
"Cfdp1","3"
"Mphosph6","3"
"Tsnax","3"
"Smco4","3"
"Arhgap32","3"
"Fam118b","3"
"Hspa8","3"
"Hyou1","3"
"Cd3d","3"
"Drd2","3"
"Imp3","3"
"Cox5a","3"
"Aagab","3"
"Spg21","3"
"Polr2m","3"
"Elovl5","3"
"Zbtb38","3"
"Exog","3"
"Rpsa","3"
"Rps12","3"
"Vps26a","3"
"Icosl","3"
"Plekhj1","3"
"Hmg20b","3"
"Slc5a8","3"
"Tmpo","3"
"Limk2","3"
"Ewsr1","3"
"Cct4","3"
"Npm1","3"
"Hnrnph1","3"
"Fnip1","3"
"Lypd8","3"
"Cenpv","3"
"Slc6a4","3"
"Utp6","3"
"Lasp1","3"
"Ezh1","3"
"Acox1","3"
"Exoc7","3"
"P4hb","3"
"Rrm2","3"
"Dnaaf2","3"
"Nemf","3"
"Numb","3"
"Isca2","3"
"Golga5","3"
"Mta1","3"
"Slc17a4","3"
"Foxq1","3"
"Eci2","3"
"Tmem14c","3"
"Nedd9","3"
"Kif13a","3"
"Susd3","3"
"Spin1","3"
"Lman2","3"
"Uqcrb","3"
"Mrpl36","3"
"Slc12a7","3"
"Dhfr","3"
"Ptcd2","3"
"Mrps27","3"
"Naip1","3"
"Emb","3"
"Oit1","3"
"Rpp14","3"
"Dennd6a","3"
"Pnp","3"
"Ripk3","3"
"Hr","3"
"Lcp1","3"
"Lifr","3"
"Sub1","3"
"Cox6c","3"
"Ly6c1","3"
"Sharpin","3"
"Kmt2d","3"
"Slc11a2","3"
"Sdf2l1","3"
"Ranbp1","3"
"Eif4a2","3"
"Lpp","3"
"Muc4","3"
"Rpl35a","3"
"Ltn1","3"
"Scaf8","3"
"Snx9","3"
"Map3k4","3"
"Msrb1","3"
"Bak1","3"
"Rps18","3"
"Tubb5","3"
"Vapa","3"
"Xdh","3"
"Eif2ak2","3"
"Svil","3"
"Arhgap12","3"
"Srp19","3"
"Ctnna1","3"
"Fech","3"
"Pcx","3"
"Rab1b","3"
"Rela","3"
"Znhit2","3"
"Pcsk5","3"
"Atad1","3"
"Aldh18a1","3"
"Abcd1","3"
"Rpl10","3"
"Cdkl5","3"
"Tram1","4"
"Ube2w","4"
"Cflar","4"
"Aamp","4"
"C130026I21Rik","4"
"Smg7","4"
"Dcaf8","4"
"Nsmf","4"
"Med27","4"
"Stxbp1","4"
"Rbm43","4"
"Itgav","4"
"Tgm5","4"
"Slc30a4","4"
"Zc3h8","4"
"Zfp64","4"
"Rab33b","4"
"Lxn","4"
"Smc4","4"
"Ppid","4"
"Sema4a","4"
"Hax1","4"
"Sike1","4"
"Trim33","4"
"Gar1","4"
"Pigk","4"
"Spink4","4"
"Rpp25l","4"
"Sigmar1","4"
"Tstd2","4"
"Nans","4"
"Klf4","4"
"Cdc26","4"
"Bspry","4"
"Acer2","4"
"Txndc12","4"
"Alpl","4"
