"Gene symbol","Cluster number"
"Fzd7","1"
"Traf3ip3","1"
"Itga4","1"
"Ddb2","1"
"Cry2","1"
"Nudt6","1"
"Stx12","1"
"Gtf3c2","1"
"Letm1","1"
"Mfsd10","1"
"Naaa","1"
"Setd1b","1"
"Gimap8","1"
"Chchd4","1"
"Rad52","1"
"Kdm5a","1"
"Klrg1","1"
"2310002F09Rik","1"
"Coro1a","1"
"Itgax","1"
"Fnta","1"
"Ubxn8","1"
"Isyna1","1"
"Mast3","1"
"Dnmt1","1"
"Fli1","1"
"Herc1","1"
"Xcr1","1"
"Itgb2","1"
"Arhgap9","1"
"Slc22a21","1"
"1700012B07Rik","1"
"Sgpp1","1"
"Pcnx","1"
"Igha","1"
"Higd2a","1"
"Cd180","1"
"Arhgap22","1"
"Parp2","1"
"Sorbs3","1"
"Pkhd1l1","1"
"Rnf139","1"
"Zfp263","1"
"Gcsam","1"
"Map3k2","1"
"Map4k2","1"
"Sf1","1"
"Rpl9-ps6","1"
"4833407H14Rik","1"
"Htatsf1","1"
"Clk1","2"
"Ppil3","2"
"Fn1","2"
"Inpp5d","2"
"Rbbp5","2"
"Prelp","2"
"Camsap2","2"
"Pfdn2","2"
"Rcor3","2"
"Ccdc3","2"
"Psmd5","2"
"Trp53i11","2"
"Aqr","2"
"Hypk","2"
"Mrps5","2"
"Ergic3","2"
"Samhd1","2"
"Zhx3","2"
"Polr3k","2"
"Adam15","2"
"S100a11","2"
"Cdc42se1","2"
"Plekho1","2"
"Sass6","2"
"Fnbp1l","2"
"Acadm","2"
"Ankrd6","2"
"Aldob","2"
"Cdc26","2"
"C630043F03Rik","2"
"Itgb3bp","2"
"Skint6","2"
"Stil","2"
"Slc2a1","2"
"Mycbp","2"
"5730409E04Rik","2"
"Atpif1","2"
"Sfn","2"
"Cd52","2"
"Tmem50a","2"
"Efhd2","2"
"Prkcz","2"
"Abcb8","2"
"Wfs1","2"
"Rbm47","2"
"Mvk","2"
"Baz1b","2"
"Cnpy4","2"
"Ints1","2"
"Ndufa4","2"
"Akr1b3","2"
"1600020E01Rik","2"
"Nup210","2"
"Arl8b","2"
"Emc3","2"
"Slc6a11","2"
"Wnk1","2"
"Cops7a","2"
"Dennd5b","2"
"Zfp60","2"
"Emc10","2"
"Pnkp","2"
"Gys1","2"
"Ftl1","2"
"Bax","2"
"Ndufc2","2"
"Tmc5","2"
"Knop1","2"
"Maz","2"
"Ctf1","2"
"Bag3","2"
"9430038I01Rik","2"
"Lsp1","2"
"Ccnd1","2"
"Sap30","2"
"Bst2","2"
"Amfr","2"
"Dhodh","2"
"Cfdp1","2"
"Galns","2"
"Icam4","2"
"Ei24","2"
"Ddx10","2"
"Wdr61","2"
"Etfa","2"
"Myo9a","2"
"Lrrc49","2"
"Elovl5","2"
"Phip","2"
"Cyb5r4","2"
"Rassf1","2"
"Rhoa","2"
"Azi2","2"
"Pex3","2"
"Ppa1","2"
"Vps26a","2"
"Fam207a","2"
"Sf3a2","2"
"Rmnd5b","2"
"Slc22a5","2"
"Fnip1","2"
"Grap","2"
"Ccl6","2"
"Znhit3","2"
"Mbtd1","2"
"Rundc1","2"
"Ppy","2"
"Tmub2","2"
"Atp5h","2"
"Nup85","2"
"Caskin2","2"
"Mxra7","2"
"Laptm4a","2"
"Adi1","2"
"Tex21","2"
"Acot1","2"
"Tmed10","2"
"Gpr132","2"
"Ighg2b","2"
"Serpinb9","2"
"Tubb2b","2"
"Ndufaf2","2"
"Mrps30","2"
"Tdrd3","2"
"Gpr18","2"
"Sybu","2"
"Hsf1","2"
"Nol12","2"
"H1f0","2"
"Polr2f","2"
"Ccdc134","2"
"Rapgef3","2"
"Snx29","2"
"Mb21d2","2"
"Parp9","2"
"Ccdc80","2"
"Hspa13","2"
"Ifnar1","2"
"Dyrk1a","2"
"Rsph3b","2"
"Tcp1","2"
"Rgmb","2"
"Ccnf","2"
"Cuta","2"
"Ring1","2"
"Brd2","2"
"H2-DMb1","2"
"F630040K05Rik","2"
"Rbbp8","2"
"Cfl1","2"
"Plcb3","2"
"Otub1","2"
"Nxf1","2"
"Mta2","2"
"Fads3","2"
"Apba1","2"
"Myof","2"
"Mms19","2"
"Suv39h1","2"
"Ndufb11","2"
"Mmgt1","2"
"Atp11c","2"
"Zxdb","2"
"Gjb1","2"
"Slc25a53","2"
"Rrs1","3"
"Rpl31","3"
"Mob4","3"
"Sumo1","3"
"Ttll4","3"
"Hdlbp","3"
"Pou2f1","3"
"Akt3","3"
"Etl4","3"
"Noxa1","3"
"Dolpp1","3"
"Cd302","3"
"Nop10","3"
"Zfp770","3"
"3110099E03Rik","3"
"Stx16","3"
"Hnf4g","3"
"D3Ertd751e","3"
"Mef2d","3"
"Efna4","3"
"Jtb","3"
"Cept1","3"
"Rwdd3","3"
"Casp6","3"
"Tln1","3"
"Pax5","3"
"Tex10","3"
"Rad23b","3"
"Yipf1","3"
"Pink1","3"
"Zbtb17","3"
"Noc2l","3"
"Orc5","3"
"4632411P08Rik","3"
"Mrfap1","3"
"Rpl9","3"
"Zfp932","3"
"Chfr","3"
"Atp6v0a2","3"
"Muc3","3"
"Rpl21","3"
"N4bp2l1","3"
"1110019D14Rik","3"
"Klhdc10","3"
"Trim24","3"
"Skap2","3"
"Hoxa3","3"
"9530026P05Rik","3"
"Erf","3"
"Fam83e","3"
"Taf10","3"
"Mrpl17","3"
"Dhx32","3"
"Deaf1","3"
"Atp11a","3"
"Eri1","3"
"Tlr3","3"
"Spcs3","3"
"Mau2","3"
"Dda1","3"
"Rab8a","3"
"Rbmxl1","3"
"Tecr","3"
"Calr","3"
"Zfp266","3"
"St14","3"
"Vwa5a","3"
"Me1","3"
"Dnajc13","3"
"Qars","3"
"Epm2aip1","3"
"Utrn","3"
"Mtfr2","3"
"Hs3st5","3"
"Col13a1","3"
"Hnrnph3","3"
"Rrp1","3"
"Nup37","3"
"Nr1h4","3"
"Ugp2","3"
"Rps27a","3"
"Asb3","3"
"Fbxw11","3"
"Kcnmb1","3"
"Clk4","3"
"Sar1b","3"
"Atox1","3"
"Gria1","3"
"Zfp672","3"
"Srebf1","3"
"Trim16","3"
"C1qbp","3"
"Myo18a","3"
"Tlcd1","3"
"Taf15","3"
"Heatr6","3"
"Akap1","3"
"Mllt6","3"
"Grb2","3"
"Tmem30b","3"
"Net1","3"
"Akr1c13","3"
"Uimc1","3"
"Naa35","3"
"Mtx3","3"
"Exoc5","3"
"Chd8","3"
"Parvb","3"
"Zfp740","3"
"Cpped1","3"
"Naa50","3"
"Tmem45a","3"
"Itsn1","3"
"Rnaset2a","3"
"Pdcd2","3"
"Nudt3","3"
"Srpk1","3"
"Cbs","3"
"Ager","3"
"Spast","3"
"Cox7a2l","3"
"Slc35a4","3"
"Fbxo38","3"
"Rbfa","3"
"Brms1","3"
"Frmd8","3"
"Snhg1","3"
"Smc3","3"
"Pim2","3"
"Stag2","3"
"Fam3a","3"
"Maged1","3"
"Ace2","3"
"Tmsb4x","3"
"Stat1","4"
"Phlpp1","4"
"Dsel","4"
"Mrps14","4"
"Nos1ap","4"
"Pex19","4"
"Ifi205","4"
"Sapcd2","4"
"Endog","4"
"Pomt1","4"
"Gsn","4"
"Usp8","4"
"Rab22a","4"
"E2f5","4"
"Sox2ot","4"
"Cks1b","4"
"Mtmr11","4"
"Ptgfrn","4"
"Vav3","4"
"Rabggtb","4"
"Cngb3","4"
"Slc25a51","4"
"A630031M04Rik","4"
"Pnrc2","4"
"Rere","4"
"Ankib1","4"
"Reln","4"
"Rbm33","4"
"Gpn1","4"
"Rbpj","4"
"Rassf6","4"
"Tchp","4"
"Taok3","4"
