"Gene symbol","Cluster number"
"Fam168b","3"
"Raph1","3"
"Cyp27a1","3"
"Mapkapk2","3"
"Csrp1","3"
"Lamc1","3"
"Mpzl1","3"
"Pbx1","3"
"Pea15a","3"
"Hnrnpu","3"
"Rpl7a","3"
"Pbx3","3"
"Lrp1b","3"
"Ssrp1","3"
"Cd44","3"
"Fam98b","3"
"Ddrgk1","3"
"9630028H03Rik","3"
"Romo1","3"
"Atp9a","3"
"Anxa5","3"
"Mfsd1","3"
"Pear1","3"
"Rit1","3"
"Acadm","3"
"Ube2r2","3"
"Rps6","3"
"Dab1","3"
"Osbpl9","3"
"Mast2","3"
"Atp6v0b","3"
"Rbbp4","3"
"Srsf4","3"
"Epha8","3"
"Hspg2","3"
"2510039O18Rik","3"
"Mrpl33","3"
"Alb","3"
"Ptpn13","3"
"Pebp1","3"
"Erp29","3"
"Pdgfa","3"
"Katnal1","3"
"Pon2","3"
"Pcbp1","3"
"Sec61a1","3"
"Chchd4","3"
"Tada3","3"
"Atn1","3"
"Mgp","3"
"Zfp579","3"
"Apoe","3"
"Ltbp4","3"
"Fut2","3"
"Gtf2h1","3"
"Rgma","3"
"Coq7","3"
"Plk1","3"
"AI467606","3"
"Trim72","3"
"Dock1","3"
"Mtg1","3"
"Cttn","3"
"Angpt2","3"
"Gatad2a","3"
"Bst2","3"
"Gipc1","3"
"Nacc1","3"
"Mmp2","3"
"Casp4","3"
"Birc3","3"
"Thyn1","3"
"Opcml","3"
"Ncam1","3"
"Etfa","3"
"Tipin","3"
"Rps27l","3"
"Slc9a9","3"
"Tfdp2","3"
"Usp19","3"
"Ccr2","3"
"Tspan15","3"
"Dcn","3"
"Mdh1","3"
"Sar1b","3"
"Wsb1","3"
"Ace","3"
"Bptf","3"
"Sstr2","3"
"Pgs1","3"
"Cant1","3"
"Arhgap5","3"
"Mnat1","3"
"Mpp5","3"
"Atp6v1d","3"
"Meg3","3"
"Pou6f2","3"
"Epdr1","3"
"Txndc5","3"
"Ecm2","3"
"Grk6","3"
"Caml","3"
"Adcy2","3"
"Lpcat1","3"
"Lhfpl2","3"
"Iqgap2","3"
"Fcho2","3"
"Mast4","3"
"Polr3a","3"
"Dennd6a","3"
"Zfp219","3"
"Mipep","3"
"Msra","3"
"Wbp4","3"
"Oxct1","3"
"Asap1","3"
