"cell_ID"	"FOV"	"cell_type"
"s4"	0	"Lhx6 iNeuron"
"s6"	0	"Lhx6 iNeuron"
"s16"	0	"Lhx6 iNeuron"
"s22"	0	"Lhx6 iNeuron"
"s86"	0	"Lhx6 iNeuron"
"s94"	0	"Lhx6 iNeuron"
"s107"	0	"Lhx6 iNeuron"
"s151"	1	"Lhx6 iNeuron"
"s204"	1	"Lhx6 iNeuron"
"s246"	2	"Lhx6 iNeuron"
"s261"	2	"Lhx6 iNeuron"
"s265"	2	"Lhx6 iNeuron"
"s267"	2	"Lhx6 iNeuron"
"s268"	2	"Lhx6 iNeuron"
"s269"	2	"Lhx6 iNeuron"
"s275"	2	"Lhx6 iNeuron"
"s279"	2	"Lhx6 iNeuron"
"s294"	2	"Lhx6 iNeuron"
"s303"	2	"Lhx6 iNeuron"
"s310"	2	"Lhx6 iNeuron"
"s314"	2	"Lhx6 iNeuron"
"s373"	3	"Lhx6 iNeuron"
"s382"	3	"Lhx6 iNeuron"
"s394"	3	"Lhx6 iNeuron"
"s412"	3	"Lhx6 iNeuron"
"s416"	3	"Lhx6 iNeuron"
"s422"	3	"Lhx6 iNeuron"
"s485"	4	"Lhx6 iNeuron"
"s509"	4	"Lhx6 iNeuron"
