"cell_ID" "FOV" "cell_types"
"cell_156" 1 "mural"
"cell_157" 1 "L4 eNeuron"
"cell_158" 1 "L4 eNeuron"
"cell_159" 1 "L4 eNeuron"
"cell_160" 1 "astrocytes"
"cell_161" 1 "L4 eNeuron"
"cell_162" 1 "L4 eNeuron"
"cell_163" 1 "L4 eNeuron"
"cell_164" 1 "L4 eNeuron"
"cell_165" 1 "L4 eNeuron"
"cell_166" 1 "L4 eNeuron"
"cell_167" 1 "L4 eNeuron"
"cell_168" 1 "endothelial"
"cell_169" 1 "L4 eNeuron"
"cell_170" 1 "L4 eNeuron"
"cell_171" 1 "astrocytes"
"cell_172" 1 "L4 eNeuron"
"cell_173" 1 "L4 eNeuron"
"cell_174" 1 "L4 eNeuron"
"cell_175" 1 "L4 eNeuron"
"cell_176" 1 "L4 eNeuron"
"cell_177" 1 "Adarb2 iNeuron"
"cell_178" 1 "endothelial"
"cell_179" 1 "L4 eNeuron"
"cell_180" 1 "L4 eNeuron"
"cell_181" 1 "L4 eNeuron"
"cell_182" 1 "L4 eNeuron"
"cell_183" 1 "L4 eNeuron"
"cell_184" 1 "L4 eNeuron"
"cell_185" 1 "L4 eNeuron"
"cell_186" 1 "L4 eNeuron"
"cell_187" 1 "L4 eNeuron"
"cell_188" 1 "L4 eNeuron"
"cell_189" 1 "L4 eNeuron"
"cell_190" 1 "L4 eNeuron"
"cell_191" 1 "L4 eNeuron"
"cell_192" 1 "L4 eNeuron"
"cell_193" 1 "astrocytes"
"cell_194" 1 "L4 eNeuron"
"cell_195" 1 "L2/3 eNeuron"
"cell_196" 1 "L4 eNeuron"
"cell_197" 1 "L4 eNeuron"
"cell_198" 1 "endothelial"
"cell_199" 1 "Adarb2 iNeuron"
"cell_200" 1 "L4 eNeuron"
"cell_201" 1 "L4 eNeuron"
"cell_202" 1 "astrocytes"
"cell_203" 1 "L4 eNeuron"
"cell_204" 1 "Lhx6 iNeuron"
"cell_205" 1 "L4 eNeuron"
"cell_206" 1 "endothelial"
"cell_207" 1 "L4 eNeuron"
"cell_208" 1 "L4 eNeuron"
"cell_209" 1 "L4 eNeuron"
"cell_210" 1 "L4 eNeuron"
"cell_211" 1 "L4 eNeuron"
"cell_212" 1 "L4 eNeuron"
"cell_213" 1 "endothelial"
"cell_214" 1 "L2/3 eNeuron"
"cell_215" 1 "L2/3 eNeuron"
"cell_216" 1 "L4 eNeuron"
"cell_217" 1 "L4 eNeuron"
"cell_218" 1 "L4 eNeuron"
"cell_219" 1 "L4 eNeuron"
"cell_220" 1 "Adarb2 iNeuron"
"cell_221" 1 "endothelial"
"cell_222" 1 "L4 eNeuron"
"cell_223" 1 "L4 eNeuron"
"cell_224" 1 "L4 eNeuron"
"cell_225" 1 "L4 eNeuron"
"cell_226" 1 "L4 eNeuron"
"cell_227" 2 "endothelial"
"cell_228" 2 "L5 eNeuron"
"cell_229" 2 "L5 eNeuron"
"cell_230" 2 "L5 eNeuron"
"cell_231" 2 "L5 eNeuron"
"cell_232" 2 "L5 eNeuron"
"cell_233" 2 "L6 eNeuron"
"cell_234" 2 "L5 eNeuron"
"cell_235" 2 "L5 eNeuron"
"cell_236" 2 "L5 eNeuron"
"cell_237" 2 "L4 eNeuron"
"cell_238" 2 "L6 eNeuron"
"cell_239" 2 "L6 eNeuron"
"cell_240" 2 "mural"
"cell_241" 2 "L4 eNeuron"
"cell_242" 2 "L5 eNeuron"
"cell_243" 2 "L5 eNeuron"
"cell_244" 2 "L5 eNeuron"
"cell_245" 2 "astrocytes"
"cell_246" 2 "Lhx6 iNeuron"
"cell_247" 2 "L6 eNeuron"
"cell_248" 2 "L6 eNeuron"
"cell_249" 2 "L6 eNeuron"
"cell_250" 2 "L5 eNeuron"
"cell_251" 2 "L5 eNeuron"
"cell_252" 2 "L5 eNeuron"
"cell_253" 2 "endothelial"
"cell_254" 2 "L4 eNeuron"
"cell_255" 2 "L6 eNeuron"
"cell_256" 2 "L5 eNeuron"
"cell_257" 2 "astrocytes"
"cell_258" 2 "L5 eNeuron"
"cell_259" 2 "L5 eNeuron"
"cell_260" 2 "L5 eNeuron"
"cell_261" 2 "Lhx6 iNeuron"
"cell_262" 2 "L5 eNeuron"
"cell_263" 2 "L5 eNeuron"
"cell_264" 2 "endothelial"
"cell_265" 2 "Lhx6 iNeuron"
"cell_266" 2 "endothelial"
