"cell_ID"	"x_coord"	"y_coord"
"s137"	"20966"	"9564"
"s138"	"21266"	"9564"
"s139"	"21566"	"9564"
"s140"	"21866"	"9564"
"s141"	"20066"	"9864"
"s142"	"20366"	"9864"
"s143"	"20666"	"9864"
"s144"	"20966"	"9864"
"s145"	"21266"	"9864"
"s146"	"21566"	"9864"
"s147"	"21866"	"9864"
"s148"	"20066"	"8094"
"s149"	"20366"	"8094"
"s150"	"20666"	"8094"
"s151"	"20966"	"8094"
"s152"	"21266"	"8094"
"s153"	"21566"	"8094"
"s154"	"21866"	"8094"
"s155"	"20066"	"8394"
"s156"	"20366"	"8394"
"s157"	"20666"	"8394"
"s158"	"20966"	"8394"
"s159"	"21266"	"8394"
"s160"	"21566"	"8394"
"s161"	"21866"	"8394"
"s162"	"20066"	"8694"
"s163"	"20366"	"8694"
"s164"	"20666"	"8694"
"s165"	"20966"	"8694"
"s166"	"21266"	"8694"
"s167"	"21566"	"8694"
"s168"	"21866"	"8694"
"s169"	"20066"	"8994"
"s170"	"20366"	"8994"
"s171"	"20666"	"8994"
"s172"	"20966"	"8994"
"s173"	"21266"	"8994"
"s174"	"21566"	"8994"
"s175"	"21866"	"8994"
"s176"	"20066"	"9294"
"s177"	"20366"	"9294"
"s178"	"20666"	"9294"
"s179"	"20966"	"9294"
"s180"	"21266"	"9294"
"s181"	"21566"	"9294"
"s182"	"21866"	"9294"
"s183"	"20066"	"9594"
"s184"	"20366"	"9594"
"s185"	"20666"	"9594"
"s186"	"20966"	"9594"
"s187"	"21266"	"9594"
"s188"	"21566"	"9594"
"s189"	"21866"	"9594"
"s190"	"20066"	"9894"
"s191"	"20366"	"9894"
"s192"	"20666"	"9894"
"s193"	"20966"	"9894"
"s194"	"21266"	"9894"
"s195"	"21566"	"9894"
"s196"	"21866"	"9894"
"s197"	"20066"	"8124"
"s198"	"20366"	"8124"
"s199"	"20666"	"8124"
"s200"	"20966"	"8124"
"s201"	"21266"	"8124"
"s202"	"21566"	"8124"
"s203"	"21866"	"8124"
"s204"	"20066"	"8424"
"s205"	"20366"	"8424"
"s206"	"20666"	"8424"
"s207"	"20966"	"8424"
"s208"	"21266"	"8424"
"s209"	"21566"	"8424"
"s210"	"21866"	"8424"
"s211"	"20066"	"8724"
"s212"	"20366"	"8724"
"s213"	"20666"	"8724"
"s214"	"20966"	"8724"
"s215"	"21266"	"8724"
"s216"	"21566"	"8724"
"s217"	"21866"	"8724"
"s218"	"20066"	"9024"
"s219"	"20366"	"9024"
"s220"	"20666"	"9024"
"s221"	"20966"	"9024"
"s222"	"21266"	"9024"
"s223"	"21566"	"9024"
"s224"	"21866"	"9024"
"s225"	"20066"	"9324"
"s226"	"20366"	"9324"
