"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","p.adjust.digits"
"GO:0010001","GO:0010001","glial cell differentiation","3/5","157/8840",5.35455979072841e-05,0.0215115425609054,0.011475158609299,"Abl1/Tmem98/Mag",3,0.022
"GO:0042063","GO:0042063","gliogenesis","3/5","213/8840",0.000133099692769711,0.0215115425609054,0.011475158609299,"Abl1/Tmem98/Mag",3,0.022
"GO:0021587","GO:0021587","cerebellum morphogenesis","2/5","36/8840",0.000160018488658087,0.0215115425609054,0.011475158609299,"Abl1/Kndc1",2,0.022
"GO:0021575","GO:0021575","hindbrain morphogenesis","2/5","38/8840",0.000178479350073158,0.0215115425609054,0.011475158609299,"Abl1/Kndc1",2,0.022
"GO:0031641","GO:0031641","regulation of myelination","2/5","41/8840",0.000208041997687673,0.0215115425609054,0.011475158609299,"Tmem98/Mag",2,0.022
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","3/5","310/8840",0.000405275022187278,0.0250410326670541,0.0133579365952727,"Abl1/Dock6/Kndc1",3,0.025
"GO:0030516","GO:0030516","regulation of axon extension","2/5","70/8840",0.000608688827540762,0.0250410326670541,0.0133579365952727,"Abl1/Mag",2,0.025
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","2/5","74/8840",0.000680155275815641,0.0250410326670541,0.0133579365952727,"Abl1/Tmem98",2,0.025
"GO:0060284","GO:0060284","regulation of cell development","3/5","370/8840",0.000682984048128905,0.0250410326670541,0.0133579365952727,"Abl1/Tmem98/Mag",3,0.025
"GO:0014013","GO:0014013","regulation of gliogenesis","2/5","77/8840",0.000736311729572511,0.0250410326670541,0.0133579365952727,"Tmem98/Mag",2,0.025
"GO:0061387","GO:0061387","regulation of extent of cell growth","2/5","79/8840",0.0007749642604891,0.0250410326670541,0.0133579365952727,"Abl1/Mag",2,0.025
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","3/5","410/8840",0.000923549408283614,0.0258039130398154,0.0137648889675896,"Abl1/Mag/Kndc1",3,0.026
"GO:0046631","GO:0046631","alpha-beta T cell activation","2/5","93/8840",0.00107262566321916,0.0258039130398154,0.0137648889675896,"Abl1/Tmem98",2,0.026
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","3/5","453/8840",0.0012371573438772,0.0258039130398154,0.0137648889675896,"Abl1/Mag/Kndc1",3,0.026
"GO:0048858","GO:0048858","cell projection morphogenesis","3/5","455/8840",0.00125321136076999,0.0258039130398154,0.0137648889675896,"Abl1/Mag/Kndc1",3,0.026
"GO:0032990","GO:0032990","cell part morphogenesis","3/5","461/8840",0.00130218144680862,0.0258039130398154,0.0137648889675896,"Abl1/Mag/Kndc1",3,0.026
"GO:0031644","GO:0031644","regulation of nervous system process","2/5","103/8840",0.00131409445345704,0.0258039130398154,0.0137648889675896,"Tmem98/Mag",2,0.026
"GO:0051961","GO:0051961","negative regulation of nervous system development","2/5","105/8840",0.00136525605942346,0.0258039130398154,0.0137648889675896,"Tmem98/Mag",2,0.026
"GO:0042552","GO:0042552","myelination","2/5","108/8840",0.00144378457818992,0.0258039130398154,0.0137648889675896,"Tmem98/Mag",2,0.026
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","2/5","109/8840",0.00147043637651182,0.0258039130398154,0.0137648889675896,"Abl1/Tmem98",2,0.026
"GO:0007272","GO:0007272","ensheathment of neurons","2/5","110/8840",0.0014973257083065,0.0258039130398154,0.0137648889675896,"Tmem98/Mag",2,0.026
"GO:0008366","GO:0008366","axon ensheathment","2/5","110/8840",0.0014973257083065,0.0258039130398154,0.0137648889675896,"Tmem98/Mag",2,0.026
"GO:0008361","GO:0008361","regulation of cell size","2/5","127/8840",0.00199062493670952,0.0302692085964359,0.0161468648116995,"Abl1/Mag",2,0.03
"GO:0048588","GO:0048588","developmental cell growth","2/5","155/8840",0.00295048793166987,0.041227088126306,0.0219922571293743,"Abl1/Mag",2,0.041
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","2/5","169/8840",0.00349823426499995,0.0463740285898712,0.0247378509427797,"Abl1/Mag",2,0.046
