"Gene symbol","Cluster number"
"Dbp","2"
"Nomo1","2"
"Klhl25","2"
"Idh2","2"
"Zfp592","2"
"Aamdc","2"
"Lipt2","2"
"Mrpl48","2"
"Pgap2","2"
"Ampd3","2"
"Prr14","2"
"Hsd3b7","2"
"Zfp358","2"
"Col4a1","2"
"Gsr","2"
"Slc25a4","2"
"Dctd","2"
"Upf1","2"
"Jund","2"
"Plvap","2"
"B3gnt3","2"
"Ier2","2"
"Heatr3","2"
"Bean1","2"
"Ap1g1","2"
"Aprt","2"
"Taf5l","2"
"Gucy1a2","2"
"Acad8","2"
"Phldb1","2"
"Rbm7","2"
"Ncam1","2"
"Ireb2","2"
"Fem1b","2"
"Rab27a","2"
"Gsta4","2"
"Rpl29","2"
"Stt3b","2"
"Exog","2"
"Ano10","2"
"Limd1","2"
"Sacm1l","2"
"Pcmt1","2"
"Sf3b5","2"
"Lama2","2"
"Cdk19","2"
"Sesn1","2"
"Mcm3ap","2"
"Gpx4","2"
"Eef2","2"
"Hmg20b","2"
"Tle6","2"
"Rtcb","2"
"Hsp90b1","2"
"Esyt1","2"
"Lgalsl","2"
"Usp34","2"
"Pex13","2"
"Cpeb4","2"
"Npm1","2"
"Sqstm1","2"
"Fstl4","2"
"Pdlim4","2"
"Shmt1","2"
"Map2k4","2"
"Nlrp1b","2"
"Pafah1b1","2"
"Synrg","2"
"Appbp2","2"
"Itga3","2"
"Zfp652","2"
"Becn1","2"
"Nbr1","2"
"Ubtf","2"
"Hexim1","2"
"Arhgap27","2"
"Mif4gd","2"
"Myo15b","2"
"Cygb","2"
"Rrm2","2"
"Arl4a","2"
"Fntb","2"
"Pigh","2"
"Isca2","2"
"Flrt2","2"
"Calm1","2"
"Trip11","2"
"Golga5","2"
"Eif5","2"
"Gpld1","2"
"Rreb1","2"
"Txndc5","2"
"Smim13","2"
"Auh","2"
"Mxd3","2"
"Sdha","2"
"Scamp1","2"
"Emb","2"
"Ecd","2"
"Bmp4","2"
"Tinf2","2"
"Ints9","2"
"Adamdec1","2"
"Hr","2"
"Rcbtb2","2"
"Mzt1","2"
"Vps13b","2"
"Gpr20","2"
"Hsf1","2"
"Tomm22","2"
"Apobec3","2"
"Mgat3","2"
"Zbed4","2"
"Ubn1","2"
"Rsl1d1","2"
"Pla2g10","2"
"Abcf3","2"
"Fgf12","2"
"Fam162a","2"
"Naa50","2"
"Ccdc80","2"
"Hmgn1","2"
"Smoc2","2"
"Noxo1","2"
"Cuta","2"
"Rab11b","2"
"Rnf5","2"
"1110038B12Rik","2"
"Ier3","2"
"Cenpq","2"
"Daam2","2"
"Twsg1","2"
"Dpy30","2"
"Atl2","2"
"Hnrnpll","2"
"Kif5b","2"
"Colec12","2"
"Snrpd1","2"
"Hars","2"
"Snx24","2"
"Gnal","2"
"Stip1","2"
"Cox8a","2"
"Slc3a2","2"
"Tmem132a","2"
"Trpm3","2"
"Myof","2"
"Ffar4","2"
"Mms19","2"
"R3hcc1l","2"
"Npm3","2"
"Nolc1","2"
"Pcgf6","2"
"Fundc1","2"
"Tenm1","2"
"Taz","2"
"Atp6ap1","2"
"Gdi1","2"
"Tbl1x","2"
"Yipf6","2"
"Rps4x","2"
"Atp7a","2"
"Tceal8","2"
"Morf4l2","2"
"Cldn2","2"
"A830018L16Rik","3"
"Tram1","3"
"Nab1","3"
"Smarcal1","3"
"Zcchc2","3"
"Rgl1","3"
"Mgst3","3"
"Ndufs2","3"
"Fh1","3"
"C130074G19Rik","3"
"Hhat","3"
"Myo3a","3"
"Nelfb","3"
"Ptges2","3"
"Lrp1b","3"
"Gpd2","3"
"Cd302","3"
"Ddb2","3"
"Arhgap1","3"
"Ppp1r14d","3"
"Stard7","3"
"Rrbp1","3"
"Srxn1","3"
"Csnk2a1","3"
"Phf20","3"
"Zmynd8","3"
"Bcas1","3"
"Rae1","3"
"Mecom","3"
"Sema4a","3"
"Efna1","3"
"Pygo2","3"
"Adar","3"
"Ubap2l","3"
"S100a13","3"
"Bcas2","3"
"Gstcd","3"
"Metap1","3"
"Lingo2","3"
"Ndufb6","3"
"Bag1","3"
"Ccl21a","3"
"Vcp","3"
"Tpm2","3"
"Trim14","3"
"Galnt12","3"
"Psip1","3"
"Mier1","3"
"Cmpk1","3"
"Ppcs","3"
"Guca2b","3"
"Nfyc","3"
"Zmpste24","3"
"Syf2","3"
"Aurkaip1","3"
"Snx17","3"
"Ppm1g","3"
"Fbxl5","3"
"Fgfbp1","3"
"Ldb2","3"
"Kdr","3"
"Noc4l","3"
"2900026A02Rik","3"
"Kctd10","3"
"Taok3","3"
"Erp29","3"
"Ubc","3"
"Ap1s1","3"
"Sun1","3"
"Baiap2l1","3"
"Pdap1","3"
"Kcnd2","3"
"Pot1a","3"
"Ahcyl2","3"
"1810058I24Rik","3"
"Igkc","3"
"Exoc6b","3"
"Rab7","3"
"9530026P05Rik","3"
"Srgap3","3"
"Clec4a1","3"
"Ncapd2","3"
"Itfg2","3"
"Mansc1","3"
"Myadm","3"
"Trappc6a","3"
"Arhgef1","3"
"Ltbp4","3"
"Fcgrt","3"
"Aldh1a3","3"
"Rhog","3"
"Mapk3","3"
"Pycard","3"
"Stxbp2","3"
"Tubgcp3","3"
"Chrnb3","3"
"Cdkn2aip","3"
"Babam1","3"
"Tbc1d9","3"
"Mmp2","3"
"Prmt7","3"
"Gabarapl2","3"
"Wwox","3"
"Atmin","3"
"Hsbp1","3"
"Slc7a5","3"
"Ntpcr","3"
"Arhgap42","3"
"Cwc15","3"
"Ubl5","3"
"Mrpl4","3"
"Carm1","3"
"Gramd1b","3"
"Tagln","3"
"Tspan3","3"
"Ppcdc","3"
"Alas1","3"
"Dusp7","3"
"Kif15","3"
"Ptprk","3"
"Rwdd1","3"
"Grik2","3"
"Col6a2","3"
"Polrmt","3"
"Elk3","3"
"Lta4h","3"
"Eea1","3"
"Dcn","3"
"Usp15","3"
"Rps26","3"
"Tcn2","3"
"Ykt6","3"
"Xpo1","3"
"Wwc1","3"
"Sec24a","3"
"Rasd1","3"
"Tmem11","3"
"Med11","3"
"Mnt","3"
"Luc7l3","3"
"Pnpo","3"
"Osbpl7","3"
"Ccr10","3"
"Bptf","3"
"Nt5c","3"
"H3f3b","3"
"Jmjd6","3"
"Arhgdia","3"
"Bzw2","3"
"Hif1a","3"
"Kcnh5","3"
"Wdr89","3"
"Zfyve26","3"
"Nrxn3","3"
"Cep128","3"
"Tmem251","3"
"Inf2","3"
"Crip1","3"
"Ighg1","3"
"Akr1c12","3"
"Tmem170b","3"
"Fam120a","3"
"Rgs14","3"
"Rps23","3"
"Zbed3","3"
"Naip1","3"
"Elovl7","3"
"Adk","3"
"Dad1","3"
"Psmb5","3"
"Nedd8","3"
"Trim35","3"
"Ppp2r2a","3"
"Fndc3a","3"
"Sucla2","3"
"Sugt1","3"
"Dab2","3"
"Egflam","3"
"Fam83h","3"
"Pick1","3"
"Sun2","3"
"Slc25a17","3"
"Xrcc6","3"
"Vdr","3"
"Tuba1a","3"
"Larp4","3"
"Dazap2","3"
"Pfdn5","3"
"Calcoco1","3"
"Parn","3"
"Ccdc50","3"
"Ppp1r2","3"
"Slc15a2","3"
"Cpox","3"
"App","3"
"Ifngr2","3"
"Tulp4","3"
"1700010I14Rik","3"
"1600012H06Rik","3"
"Phf10","3"
"Zfp948","3"
"Zfp942","3"
"Kctd5","3"
"Tsc2","3"
"Ndufb10","3"
