"Gene symbol","Cluster number"
"Rcbtb2","1"
"Rpl37","1"
"Adamts12","1"
"Tars","1"
"Zfr","1"
"Rpl30","1"
"Pabpc1","1"
"Ncald","1"
"Wdyhv1","1"
"Ndufb9","1"
"Mtss1","1"
"Trib1","1"
"Gsdmc4","1"
"Kcnq3","1"
"Trappc9","1"
"Ptp4a3","1"
"Eef1d","1"
"Sharpin","1"
"Adck5","1"
"Apol6","1"
"Rbfox2","1"
"H1f0","1"
"Ankrd54","1"
"Tnrc6b","1"
"Pced1b","1"
"Senp1","1"
"Tuba1b","1"
"Tuba1a","1"
"Tarbp2","1"
"Calcoco1","1"
"Copz1","1"
"Ubn1","1"
"Usp7","1"
"Sdf2l1","1"
"Slc25a1","1"
"Ranbp1","1"
"Mrpl40","1"
"Ap2m1","1"
"Psmd2","1"
"Fgf12","1"
"Rpl35a","1"
"Cd200","1"
"Adamts5","1"
"Ltn1","1"
"Usp16","1"
"Gart","1"
"Dyrk1a","1"
"Scaf8","1"
"Slc22a1","1"
"Stub1","1"
"Rps10","1"
"Snrpc","1"
"Srpk1","1"
"Ndufv3","1"
"Wiz","1"
"H2-Aa","1"
"Stk19","1"
"1110038B12Rik","1"
"Sh3gl1","1"
"Ndufa11","1"
"Lclat1","1"
"Strn","1"
"Zeb1","1"
"Ccny","1"
"Map3k2","1"
"Lmnb1","1"
"Rbm22","1"
"Wdr7","1"
"Atp8b1","1"
"Lman1","1"
"Smad4","1"
"Myo5b","1"
"Dok6","1"
"Ndufs8","1"
"Kdm2a","1"
"Yif1a","1"
"Sf3b2","1"
"Banf1","1"
"Kat5","1"
"Sf1","1"
"Stip1","1"
"Ganab","1"
"Mta2","1"
"Ahnak","1"
"Ms4a7","1"
"Pgm5","1"
"Slc16a12","1"
"Myof","1"
"Aldh18a1","1"
"Marveld1","1"
"Chuk","1"
"Trim8","1"
"Glod5","1"
"Tspan7","1"
"Il13ra1","1"
"Stag2","1"
"Aifm1","1"
"Ids","1"
"Bgn","1"
"Lage3","1"
"Nox1","1"
"Cldn2","1"
"Tsr2","1"
"mt-Nd1","1"
"mt-Co1","1"
"mt-Co2","1"
"mt-Atp6","1"
"Ube2w","2"
"Pam","2"
"Ptprc","2"
"Cox20","2"
"Pip4k2a","2"
"Cutal","2"
"Agps","2"
"Ehf","2"
"Ccdc73","2"
"Procr","2"
"Wfdc2","2"
"Rnf114","2"
"Zbp1","2"
"Plekho1","2"
"Cnn3","2"
"Dnajb14","2"
"Ttc39a","2"
"Toe1","2"
"Sdf4","2"
"Nrbp1","2"
"Tgfbr3","2"
"Chfr","2"
"Polr1d","2"
"Sval3","2"
"Rab43","2"
"Gt(ROSA)26Sor","2"
"Klra7","2"
"Apoc2","2"
"Lrp3","2"
"Sytl2","2"
"Kcne3","2"
"Tmem159","2"
"Ppp4c","2"
"Otud4","2"
"Tox3","2"
"Nae1","2"
"Arhgef12","2"
"Phldb1","2"
"Myo6","2"
"Ccdc51","2"
"Cnot10","2"
"Stx7","2"
"Rrp1","2"
"Tspan8","2"
"Lyz2","2"
"Ddc","2"
"Cnot6","2"
"Slc36a1","2"
"Cnp","2"
"Smim6","2"
"Fntb","2"
"Zfp839","2"
"Jarid2","2"
"Ddx41","2"
"Rsl1","2"
"Ap3b1","2"
"F2r","2"
"Naip5","2"
"Hmgcs1","2"
"Mustn1","2"
"Tspan14","2"
"Dcaf13","2"
"Rims2","2"
"Lmf2","2"
"Pkp2","2"
"Eif2b5","2"
"Map3k7cl","2"
"Son","2"
"Clic6","2"
"Tnfrsf21","2"
"Vegfa","2"
"Map4k3","2"
"Srp19","2"
"Pcdhb12","2"
"Ndufv1","2"
"Neurl1a","2"
"Tbc1d25","2"
"Slc9a7","2"
"G6pdx","2"
"2610203C22Rik","3"
"Mfsd6","3"
"Sumo1","3"
"Aamp","3"
"Dbi","3"
"Phlda3","3"
"Mgst3","3"
"Sdhc","3"
"Cd84","3"
"Fh1","3"
"Pycr2","3"
"Lbr","3"
"Ppp2r5a","3"
"Kcnh1","3"
"Atp5c1","3"
"Gpr158","3"
"Ubac1","3"
"Surf1","3"
"Surf4","3"
"Gle1","3"
"Prrc2b","3"
"Fpgs","3"
"Gsn","3"
"Rpl35","3"
"Cwc22","3"
"Itgav","3"
"Ctnnd1","3"
"Serping1","3"
"Hipk3","3"
"Qser1","3"
"Arl14ep","3"
"Mettl15","3"
"Nop10","3"
"Chp1","3"
"Snrpb","3"
"Cst3","3"
"Pofut1","3"
"Chmp4b","3"
"Dynlrb1","3"
"Samhd1","3"
"Ythdf1","3"
"Rpl22l1","3"
"Prkci","3"
"Postn","3"
"Alg5","3"
"P2ry14","3"
"B3galnt1","3"
"Scamp3","3"
"S100a4","3"
"Pias3","3"
"Vcam1","3"
"Gbp2","3"
"Wls","3"
"Decr1","3"
"Ndufaf4","3"
"Lingo2","3"
"Ubap1","3"
"Grin3a","3"
"Klf4","3"
"Lpar1","3"
"Cyp2j6","3"
"Tmem59","3"
"Lrp8","3"
"Nrd1","3"
"Agbl4","3"
"Tspan1","3"
"Pik3r3","3"
"Pigv","3"
"Hspb7","3"
"Mfn2","3"
"Tardbp","3"
"Ube4b","3"
"Rpl22","3"
"Sri","3"
"Ptpn12","3"
"Ppm1g","3"
"Spon2","3"
"Htra3","3"
"Ube2k","3"
"Cds1","3"
"Arhgap24","3"
"Gfi1","3"
"Atp5k","3"
"Ep400","3"
"Rplp0","3"
"Rasa4","3"
"Polr2j","3"
"Foxk1","3"
"Bri3","3"
"Col1a2","3"
"Casd1","3"
"Ndufa4","3"
"Smo","3"
"Mkln1","3"
"9330158H04Rik","3"
"Tmem213","3"
"1700074P13Rik","3"
"Cntnap2","3"
"Tmem176b","3"
"Nt5c3","3"
"Igkc","3"
"Mrps25","3"
"Cxcl12","3"
"Adipor2","3"
"C3ar1","3"
"Ccnd2","3"
"Clec2d","3"
"Mgp","3"
"Strap","3"
"Calm3","3"
"Rabac1","3"
"Fbl","3"
"Tmem147","3"
"Tbc1d17","3"
"Nucb1","3"
"Ppp1r15a","3"
"Zfand6","3"
"2310010J17Rik","3"
"Prcp","3"
"Dgat2","3"
"Zfp768","3"
"Fus","3"
"Fbxo25","3"
"Vps36","3"
"Ing2","3"
"Mfap3l","3"
"B3gnt3","3"
"Man2b1","3"
"Adcy7","3"
"Mt1","3"
"Arl2bp","3"
"Bean1","3"
"Nfatc3","3"
"Slc7a6os","3"
"Psmd7","3"
"Cntn5","3"
"Eif3g","3"
"Opcml","3"
"Nptn","3"
"Dapk2","3"
"Arpp19","3"
"Stag1","3"
"Ryk","3"
"Srprb","3"
"Acpp","3"
"Ip6k2","3"
"Ccr5","3"
"Pcmt1","3"
"Slc35f1","3"
"Pcbd1","3"
"Misp","3"
"Nfyb","3"
"Nav3","3"
"Rap1b","3"
"Rnf185","3"
"Nudcd3","3"
"4930554G24Rik","3"
"Usp34","3"
"Cpeb4","3"
"Stk10","3"
"Maml1","3"
"Ppp2ca","3"
"Mprip","3"
"Ubb","3"
"Chd3","3"
"Polr2a","3"
"Tmem256","3"
"Ggt6","3"
"Ube2g1","3"
"Ovca2","3"
"Cpd","3"
"Supt6","3"
"Slc13a2","3"
"Lgals9","3"
"Ccl6","3"
"Vmp1","3"
"Srsf1","3"
"Hoxb6","3"
"Jup","3"
"Eftud2","3"
"Efcab3","3"
"Rab37","3"
"Mrps7","3"
"Grb2","3"
"Wbp2","3"
"Fbf1","3"
"Lgals3bp","3"
"Cbx4","3"
"Rnf213","3"
"Hgs","3"
"Ddx1","3"
"Odc1","3"
"Sypl","3"
"Agr2","3"
"Sptssa","3"
"Dlst","3"
"Serpina3n","3"
"Eif5","3"
"Dip2c","3"
"Stard3nl","3"
"Acot13","3"
"Serpinb1a","3"
"Tubb2a","3"
"Prpf4b","3"
"Fam193b","3"
"Idnk","3"
"Hapln1","3"
"Naip6","3"
"Pde4d","3"
"Itga1","3"
"Il3ra","3"
"Zmiz1","3"
"Zcchc24","3"
"Chdh","3"
"Arhgap22","3"
"2610528A11Rik","3"
"Ghitm","3"
"Psme1","3"
"Gpr180","3"
"Clybl","3"
"Lifr","3"
"Zfp622","3"
"Cpq","3"
"Vps13b","3"
"Cox6c","3"
"Gsdmd","3"
"Slc39a4","3"
"Smim22","3"
"Gspt1","3"
"Alg3","3"
"2510009E07Rik","3"
"Ppp1r2","3"
"Cxadr","3"
"Paxbp1","3"
"Hmgn1","3"
"Sh3bgr","3"
"Tiam2","3"
"Snhg9","3"
"Rab11fip3","3"
"Ergic1","3"
"Atp6v0e","3"
"Bak1","3"
"Rpl10a","3"
"Hnrnpm","3"
"Ndufa7","3"
"H2-K1","3"
"Tap1","3"
"C4b","3"
"Nelfe","3"
"Abhd16a","3"
"Slc35b2","3"
"Ubr2","3"
"Plin3","3"
"Lama1","3"
"Smchd1","3"
"Lrpprc","3"
"Msh2","3"
"Mapre2","3"
"Wdr33","3"
"Gnpda1","3"
"Myot","3"
"Pcyox1l","3"
"Seh1l","3"
"Smad2","3"
"Cdk2ap2","3"
"Atl3","3"
"Ttc9c","3"
"Tmem109","3"
"D030056L22Rik","3"
"Exoc6","3"
"Tm9sf3","3"
"Mms19","3"
"Sema4g","3"
"Mrpl43","3"
"Sfr1","3"
"Sorcs1","3"
"Cask","3"
"Maoa","3"
"Pgrmc1","3"
"Slc25a5","3"
"Hprt","3"
"Ssr4","3"
"Atp6ap1","3"
"Pls3","3"
"Rnf128","3"
"Rps6ka3","3"
"Sh3kbp1","3"
"Pdha1","3"
"Piga","3"
"Ddx3y","3"
"Ncoa2","4"
"Rpl7","4"
"Pdcl3","4"
"Fhl2","4"
"Gls","4"
"Bard1","4"
"Nhej1","4"
"Stk16","4"
"C130026I21Rik","4"
"Mlph","4"
"Asb1","4"
"Hdlbp","4"
"Prelp","4"
"Ier5","4"
"Igsf8","4"
"Srp9","4"
"Cd34","4"
"Rsu1","4"
"Mrpl41","4"
"Set","4"
"Cdk9","4"
"Ppp6c","4"
"Mbd5","4"
"Dync1i2","4"
"Rbm45","4"
"Nckap1","4"
"Madd","4"
"Cd82","4"
"Mfap1a","4"
"Ahcy","4"
"Trpc4ap","4"
"Pkig","4"
"Pltp","4"
"Bcas1","4"
"Atp5e","4"
"Tpd52","4"
"Ythdf3","4"
"Gyg","4"
"Lrba","4"
"Krtcap2","4"
"S100a13","4"
"Sprr2a3","4"
"Otud7b","4"
"Bola1","4"
"Fnbp1l","4"
"Camk2d","4"
"Ube2j1","4"
"Dcaf12","4"
"Zcchc7","4"
"Slc44a1","4"
"Atp6v1g1","4"
"Rps6","4"
"Tm2d1","4"
"Insl5","4"
"Eps15","4"
"Pomgnt1","4"
"Mast2","4"
"Hectd3","4"
"Scmh1","4"
"Meaf6","4"
"Rpa2","4"
"Rnf186","4"
"Mtor","4"
"Cdk11b","4"
"Armc10","4"
"Hgfac","4"
"Med28","4"
"Pgm2","4"
"Dgkq","4"
"Golga3","4"
"Coro1c","4"
"Pop5","4"
"BC051077","4"
"Eif2b1","4"
"Clip2","4"
"Zfp68","4"
"Tspan12","4"
"Rarres2","4"
"Vopp1","4"
"Rpia","4"
"Mcm2","4"
"Xpc","4"
"Mfap5","4"
"Lpcat3","4"
"Gapdh","4"
"Kcnj8","4"
"Sspn","4"
"Ergic2","4"
"Cyp2s1","4"
"Ltbp4","4"
"Shkbp1","4"
"Rras","4"
"Prrg2","4"
"Ntrk3","4"
"Whamm","4"
"Crebzf","4"
"Arhgef17","4"
"Rhog","4"
"Smpd1","4"
"Mrpl17","4"
"Spon1","4"
"Uqcrc2","4"
"Clrn3","4"
"Aga","4"
"Sh3rf1","4"
"Arhgap10","4"
"Farsa","4"
"Vps35","4"
"Mt2","4"
"Got2","4"
"Pdpr","4"
"Mlkl","4"
"Icam1","4"
"Carm1","4"
"Tmem205","4"
"Ube2q2","4"
"Scamp2","4"
"Neo1","4"
"Cln6","4"
"Snx1","4"
"Anxa2","4"
"Cox7a2","4"
"Mthfs","4"
"Slc9a9","4"
"Anapc13","4"
"Amotl2","4"
"Rpl29","4"
"Cdcp1","4"
"Myb","4"
"Hint3","4"
"Smpdl3a","4"
"Col6a2","4"
"Med16","4"
"Tmem259","4"
"Map2k2","4"
"Zbtb7a","4"
"Fzr1","4"
"Gnptab","4"
"Atp2b1","4"
"Grip1","4"
"Gns","4"
"Myo1a","4"
"Tbc1d10a","4"
"Ugp2","4"
"Mpg","4"
"Trim41","4"
"Naa38","4"
"Nup88","4"
"Blmh","4"
"Asic2","4"
"Ccl8","4"
"Ccl9","4"
"Eme1","4"
"Slc35b1","4"
"Kpnb1","4"
"Nr1d1","4"
"Casc3","4"
"Psme3","4"
"Etv4","4"
"Ppy","4"
"Ftsj3","4"
"Ddx5","4"
"Srsf2","4"
"Anapc11","4"
"Slc38a6","4"
"Fbln5","4"
"Hsp90aa1","4"
"Mark3","4"
"Serpinb9","4"
"Nup153","4"
"2210016F16Rik","4"
"Ctsl","4"
"Ccdc127","4"
"F2rl1","4"
"Sv2c","4"
"Tnpo1","4"
"Tkt","4"
"Bap1","4"
"Ktn1","4"
"Kpna3","4"
"Adamdec1","4"
"Ccar2","4"
"Lmo7","4"
"Oxct1","4"
"C1qtnf3","4"
"Golph3","4"
"Oxr1","4"
"Polr2f","4"
"Rpl3","4"
"Rabl2","4"
"Kansl2","4"
"Tuba1c","4"
"Krt7","4"
"Eif4b","4"
"Aifm3","4"
"Tfg","4"
"St3gal6","4"
"App","4"
"Scaf4","4"
"Traf7","4"
"Mapk8ip3","4"
"Nme4","4"
"Phf1","4"
"Srsf3","4"
"Cyp4f14","4"
"Agpat1","4"
"Trim26","4"
"Kcnh8","4"
"Ppm1b","4"
"Epc1","4"
"Cdx1","4"
"Rnmt","4"
"BC031181","4"
"Atp5a1","4"
"Txnl4a","4"
"Mrpl21","4"
"Cfl1","4"
"Macrod1","4"
"Naa40","4"
"Prpf19","4"
"Zfand5","4"
"Pten","4"
"Ffar4","4"
"Nkx2-3","4"
"Erlin1","4"
"Cuedc2","4"
"Trub1","4"
"Otud5","4"
"Mid1ip1","4"
"Emd","4"
"Hnrnph2","4"
"Smc1a","4"
"Arfgef1","5"
"Nck2","5"
"Stat1","5"
"Nab1","5"
"Nrp2","5"
"Creb1","5"
"Ppp1r12b","5"
"Dpt","5"
"Rgs5","5"
"Capn2","5"
"Ralgds","5"
"Angptl2","5"
"Ly75","5"
"Gorasp2","5"
"Ube2l6","5"
"Caprin1","5"
"Slc30a4","5"
"Tmem87b","5"
"Rgs19","5"
"Hey1","5"
"Nbea","5"
"Serp1","5"
"Adar","5"
"Rps27","5"
"Capza1","5"
"Rap1gds1","5"
"Pigk","5"
"Acer2","5"
"Map7d1","5"
"5730409E04Rik","5"
"Atpif1","5"
"Pnrc2","5"
"Hp1bp3","5"
"Gnb1","5"
"Magi2","5"
"Chpf2","5"
"Pcdh7","5"
"G3bp2","5"
"Tyw1","5"
"Auts2","5"
"Ephb4","5"
"Mgam","5"
"Malsu1","5"
"Znrf2","5"
"Kcmf1","5"
"Chchd4","5"
"Srgap3","5"
"Fbxl14","5"
"Pex26","5"
"Apobec1","5"
"Tpi1","5"
"Eps8","5"
"D6Ertd474e","5"
"Epn1","5"
"Clptm1","5"
"Ceacam10","5"
"Zfp36","5"
"Sycn","5"
"Actn4","5"
"2310002F09Rik","5"
"Med25","5"
"Herc2","5"
"Mcee","5"
"Rnf141","5"
"Coro1a","5"
"Trim72","5"
"Lrrc56","5"
"Cdkn1c","5"
"Tubgcp3","5"
"Dda1","5"
"Zfp961","5"
"Psmb10","5"
"Cog4","5"
"Gabarapl2","5"
"Pin1","5"
"Ilf3","5"
"Sdhd","5"
"Cspg4","5"
"Rpl4","5"
"Herc1","5"
"Rsl24d1","5"
"Phip","5"
"Qars","5"
"Limd1","5"
"Nus1","5"
"Ccdc6","5"
"Chchd10","5"
"Rtcb","5"
"Rpl41","5"
"Xbp1","5"
"Dbnl","5"
"Ykt6","5"
"Rtn4","5"
"Npm1","5"
"Mfap3","5"
"Sap30l","5"
"Acadvl","5"
"Zfp207","5"
