"cell_ID"	"X"	"Y"
"s4"	1513.94	-710.24
"s6"	1304.03	-1142.4
"s16"	1102.88	-1696
"s22"	1006	-344.12
"s86"	1427.06	-1401
"s94"	1232.85	-1960
"s107"	969.6	-1198.5
"s151"	3054.32	-1376.3
"s204"	2285.47	-1241.1
"s246"	4442.22	-493.04
"s261"	3993.32	-1168.7
"s265"	3829.02	-1769.8
"s267"	3812.72	-1879.2
"s268"	3740.62	-1473.7
"s269"	3661.02	-873.9
"s275"	4952.79	-1309.2
"s279"	4016.92	-876.46
"s294"	4800.77	-325.13
"s303"	4218.32	-1803.1
"s310"	3871.12	-496.92
"s314"	3623.42	-411.24
"s373"	6017.67	-1487.5
"s382"	5923.57	-1758.6
"s394"	5664.17	-1101.1
"s412"	5396.57	-447.82
"s416"	5360.37	-325.14
"s422"	6408.49	-1352.2
"s485"	6130.87	240.42
"s509"	6256.27	-289.88
